OBJECTID,YEAR_,FIRE_NAME,CAUSE,GIS_ACRES
21440,2020,NELSON,Power Line,109.60250092
21441,2020,AMORUSO,Equipment Use,685.58502197
21442,2020,ATHENS,Unknown/Unidentified,27.30047989
21443,2020,FLEMING,Miscellaneous,12.93155003
21444,2020,MELANESE,Escaped Prescribed Burn,10.31595993
21445,2020,PFE,Unknown/Unidentified,36.701931
21446,2020,VALLEY,Unknown/Unidentified,376.91049194
21447,2020,WALDO,Miscellaneous,10.10221004
21448,2020,WILLOW,Debris,33.9738884
21449,2020,WILLOWS,Arson,1309.08996582
21450,2020,DYER,Playing with Fire,194.66029358
21451,2020,FARRIER,Playing with Fire,22.63430023
21452,2020,FIELDS,Debris,55.32843018
21453,2020,JONES,Lightning,705.54602051
21454,2020,PAVE PAWS,Power Line,532.77337646
21455,2020,RIOSA,Power Line,13.6947298
21456,2020,NELSON,Unknown/Unidentified,103.33129883
21458,2020,POTTERS,Lightning,925.4019165
21459,2020,CASSCADE CREEK,Lightning,260.17559814
21460,2020,TEDDY,Unknown/Unidentified,13.27956009
21461,2020,COAST,Arson,20.20829964
21462,2020,CZU LIGHTNING COMPLEX,Lightning,86553.4609375
21463,2020,OAK,Miscellaneous,1146.46594238
21464,2020,CREEK,Vehicle,834.24432373
21465,2020,3-19,Lightning,65.00855255
21466,2020,VINEYARD,Equipment Use,150.49450684
21467,2020,MINA,Campfire,158.86920166
21468,2020,BEAR,Debris,10.47373962
21469,2020,REDWOOD,Equipment Use,101.40029907
21470,2020,GRIZZLY,Unknown/Unidentified,155.27299499999998
21471,2020,BEEGUM,Escaped Prescribed Burn,181.44050598
21472,2020,4-8,Lightning,278.01000977
21473,2020,ELK,Lightning,730.48138428
21474,2020,RED,Debris,26.40666008
21475,2020,MINE,Debris,11.07413006
21476,2020,AVOCADO,Unknown/Unidentified,137.58140564
21477,2020,HONCUT,Unknown/Unidentified,88.1860199
21478,2020,GRAND,Unknown/Unidentified,31.06109047
21479,2020,PARK FIRE,Unknown/Unidentified,24.09783936
21480,2020,SILVERADO,Unknown/Unidentified,12469.20019531
21481,2020,BLUE RIDGE,Unknown/Unidentified,13694.53027344
21482,2020,BOND,Unknown/Unidentified,6681.10107422
21483,2020,CLARK,Unknown/Unidentified,106.78510284
21484,2020,DULUTH,Vehicle,71.94994354
21485,2020,KARCHNER,Equipment Use,30.02492905
21486,2020,SIMPSON,Unknown/Unidentified,28.57456017
21487,2020,WATT,Unknown/Unidentified,39.86605835
21488,2020,LOCUST,Debris,15.85951042
21489,2020,GARDEN,Equipment Use,49.00991058
21490,2020,FEATHER,Unknown/Unidentified,14.74075031
21491,2020,BADGER,Vehicle,557.30603027
21492,2020,MINER,Unknown/Unidentified,23.13611031
21493,2020,JENNY 2-3,Lightning,14.63708019
21494,2020,SCHOOLHOUSE,Unknown/Unidentified,37.06404114
21495,2020,TOWNSEND,Debris,13.73042965
21496,2020,SHACKLEFORD,Unknown/Unidentified,37.65026855
21497,2020,MOC,Miscellaneous,2857.60498047
21498,2020,SALT,Miscellaneous,1593.73205566
21499,2020,WALKER,Miscellaneous,1398.00402832
21500,2020,BAKER,Unknown/Unidentified,165.17979431
21501,2020,BENA,Unknown/Unidentified,2884.44311523
21502,2020,FLAT,Unknown/Unidentified,40.09772873
